movieId|genres
1|Adventure
1|Animation
1|Children
1|Comedy
1|Fantasy
2|Adventure
2|Children
2|Fantasy
3|Comedy
3|Romance
4|Comedy
4|Drama
4|Romance
5|Comedy
6|Action
6|Crime
6|Thriller
7|Comedy
7|Romance
8|Adventure
8|Children
9|Action
10|Action
10|Adventure
10|Thriller
11|Comedy
11|Drama
11|Romance
12|Comedy
12|Horror
13|Adventure
13|Animation
13|Children
14|Drama
15|Action
15|Adventure
15|Romance
16|Crime
16|Drama
17|Drama
17|Romance
18|Comedy
19|Comedy
20|Action
20|Comedy
20|Crime
20|Drama
20|Thriller
21|Comedy
21|Crime
21|Thriller
22|Crime
22|Drama
22|Horror
22|Mystery
22|Thriller
23|Action
23|Crime
23|Thriller
24|Drama
24|Sci-Fi
25|Drama
25|Romance
26|Drama
27|Children
27|Drama
28|Drama
28|Romance
29|Adventure
29|Drama
29|Fantasy
29|Mystery
29|Sci-Fi
30|Crime
30|Drama
31|Drama
32|Mystery
32|Sci-Fi
32|Thriller
33|Adventure
33|Romance
33|IMAX
34|Children
34|Drama
35|Drama
35|Romance
36|Crime
36|Drama
37|Documentary
37|IMAX
38|Children
38|Comedy
39|Comedy
39|Romance
40|Drama
41|Drama
41|War
42|Action
42|Crime
42|Drama
43|Drama
44|Action
44|Adventure
44|Fantasy
45|Comedy
45|Drama
45|Thriller
46|Drama
46|Romance
47|Mystery
47|Thriller
48|Animation
48|Children
48|Drama
48|Musical
48|Romance
49|Drama
49|Romance
50|Crime
50|Mystery
50|Thriller
51|Action
51|Drama
51|Thriller
52|Comedy
52|Drama
52|Romance
53|Adventure
53|Drama
54|Children
54|Comedy
