movieId|sim_moveId|relevance
1|11|0.9999884373793673
1|47|0.9999866569164986
1|32|0.9998401033659099
1|6|0.9997963185985614
1|50|0.999719532153768
2|15|0.9999757356234257
2|14|0.999975735623402
2|24|0.9999201644755241
2|22|0.9999200702551702
2|10|0.999808182655479
3|31|0.9999968041457541
3|20|0.9999879296390946
3|52|0.9999811557228999
3|45|0.9999672680795939
3|16|0.9999037519130773
4|46|0.9951437253210622
4|42|0.9951436311006214
4|8|0.9951435996937896
4|44|0.9951435682869931
4|5|0.9871698546695347
5|19|0.9996082648335803
5|14|0.9990038741482602
5|15|0.9990038113346396
5|2|0.9986917604397639
5|24|0.9979817205169421
6|32|0.9999923035776508
6|17|0.9999863240605085
6|21|0.999938947553255
6|11|0.9998619547921564
6|1|0.9997963185985614
7|16|0.9999993076492538
7|36|0.9999993076492538
7|29|0.9999987655006399
7|45|0.9999779302587193
7|52|0.9999627660855783
8|44|0.9999999057795474
8|46|0.9999998743727115
8|42|0.9999998429659112
8|9|0.9980693749579407
8|41|0.9980693435511284
9|23|0.9999999371863636
9|41|0.9999999057795238
9|28|0.9997420408320987
9|43|0.9991363767475598
9|44|0.9980694063647805
10|24|0.999975085603475
10|22|0.9999750541967338
10|20|0.9999496170548093
10|3|0.9998919273045551
10|31|0.9998657670726021
11|1|0.9999884373793673
11|47|0.9999693844099247
11|32|0.9999027760572656
11|6|0.9998619547921564
11|17|0.9997896040890943
12|54|0.9999999371863558
12|38|0.9999999371863558
12|40|0.9999999057795238
12|37|0.9999999057795238
12|26|0.9999999057795238
13|54|0.9999999057795474
13|38|0.9999999057795474
13|33|0.9999999057795474
13|27|0.9999999057795474
13|53|0.9999999057480303
14|15|0.9999998743727194
14|2|0.999975735623402
14|19|0.9998608241601545
14|24|0.9998206156753345
14|22|0.9998205214549334
15|14|0.9999998743727194
15|2|0.9999757356234257
15|19|0.999860761346534
15|24|0.9998204900480698
15|22|0.9998203958277159
16|36|1.0
16|7|0.9999993076492538
16|29|0.999998029125493
16|45|0.9999827033654641
16|52|0.9999689157086471
17|6|0.9999863240605085
17|21|0.9999792742111772
17|32|0.9999781836884063
